Word,Meaning,Synonyms,Example
term,"말, 용어, 전문어; 말씨, 어투, 어구, 표현; 기간, 기한, 임기, 회기, 학기; 지불기일, 약정기간; (지불·요금 등의) 조건, 조항; 협약, 약정, 협정; 관계, 사이; 이름 짓다, 칭하다, 부르다",phraseology; terminology; jargon; lingo; usage; wording; phrasing; parlance; period; tenure; session; sitting; semester; due date; expiry date; duration; conditions; stipulation; proviso; compact; pact; contract; covenant; designate; name; title; entitle; call,"In artistic terms, the film was revolutionary."
initiative,"새로운 계획이나 구상; 주도권, 진취성, 솔선; 발의권, 국민발안",plan; gambit; leadership; hegemony; enterprise; bill; begin; start,"She tries to do just what is required for the job, makes no effort to show initiative, and refuses to work overtime."
gregarious,"(사람이) 사교적인, 집단을 좋아하는; 떼지어 사는, 군거성의",sociable; companionable; outgoing; clubbable; social,Reindeer are highly gregarious and travel in herds.
feasible,"실행할 수 있는, 가능한; 그럴싸한, 있음직한",practicable; possible; viable; executable; attainable; workable; probable; plausible; likely,The first thing we have to do is review whether the project is feasible or not.
variety,"다양성, 변화가 많음; 여러 가지, 갖가지, 각양각색; 이종, 변종; 버라이어티 쇼",diversity; diversification; vicissitude; assortment; mixture; miscellany; potpourri; mutation; freak; vaudeville,"America has been called a “melting pot” because of the variety of ethnic, cultural and racial heritages of its citizens."
effect,"결과, 효과, 영향; 효능; 광경, 인상, 외양, 체면; 동산, 물품, 개인 자산, 소유물; 변화를 초래하다; (목적·계획 등을) 이루다, 달성하다",result; consequence; corollary; impact; efficacy; countenance; aspect; facet; appearance; properties; estate; assets; belongings; cause; bring about; evoke; put through; achieve; accomplish,The effect you are having on your brother is not the one we wanted.
ban,"(행위·제조·판매·사용을) 금지하다; 금지, 금지령, 금제; 파문, 추방",prohibit; forbid; inhibit; proscribe; taboo; prohibition; embargo; inhibition; expatriation; expulsion; exile; deportation; banishment; excommunication,The government lifted its ban on importing automobiles.
disparity,"서로 다름, 차이; 불균형, 불일치",difference; inequality; discord; disagreement,The disparity in their ages made no difference at all.
diversity,"다양성; 여러 가지, 잡다한 것; 차이점",variety; manifold; multiformity; difference; discrepancy; dissimilarity,The great diversity of ethnic backgrounds has produced religious pluralism.
inevitable,"피할 수 없는, 불가피한, 필연적인; 어김없는, 판에 박은",unavoidable; ineluctable; ineludible; inescapable; inexorable; fated; destined; doomed; predestined; preordained,"In 1861, it seemed inevitable that the Southern states would break away from the Union."
indigenous,"(물건이나 병이) 지역 고유의, 토착의; 타고난, 생득적인",native; endemic; aboriginal; innate; inborn; inbred; congenital; natural; inherent; inherited,Tobacco is one of the indigenous plants which the early explorers found in this country.
innate,"(성질 등을) 타고난, 천부의, 선천적인",inborn; natural; congenital; inherent; indigenous; inbred; ingrained; native,Psychologists still wonder if some personality traits are innate.
chronic,"(병이나 부정적인 것이) 고질적인, 만성적인; 만성병 환자",persistent; continuous; inveterate; confirmed; settled; deep-seated; deep-rooted,The doctor said his rheumatism was chronic disease.
eliminate,"~을 제외하다, 무시하다; 제거하다, 삭제하다; 탈락시키다",rule out; exclude; except from; omit; remove; get rid of; weed out; eradicate; delete; efface; expunge; expurgate; obliterate,"Lately, a researcher has made a discovery that could virtually eliminate any chance of organ rejection."
reiterate,"(행위·말·요구를) 되풀이하다, 반복하다",repeat; iterate; do over again; harp,The native speaker reiterated his view on the issue.
intrepid,"용맹한, 대담한, 무서움을 모르는",courageous; fearless; daring; unfearing; gallant; dauntless; undaunted; valiant; valorous; greathearted; stronghearted,He has always been the most intrepid explorer.
intimidate,협박하다; 위협하여 ~하게 하다,threaten; frighten; terrify; browbeat; menace; coerce; pressurize; bully; scare; blackmail,Attempts to intimidate people into voting for the governing party did not work.
innocuous,"해가 없는, 독이 없는; 악의가 없는",harmless; unharmful; innoxious; innocent,The fox is an innocuous animal and can even be quite friendly.
altruistic,"자신보다 남을 위하는, 이타적인",unselfish; selfless,"Selfless and altruistic, she left many to mourn her generous heart when she died."
indifferent,"무관심한, 냉담한, 개의치 않는; 중요치 않은, 시시한, 그저 그런",unconcerned; uninterested; disinterested; nonchalant; insensible; listless; aloof; apathetic; cool; lukewarm; unimportant,"He was indifferent to success, painting not for the sake of fame or monetary reward, but for the sheer love of art."
inquisitive,"탐구적인, 알고 싶어하는, 호기심이 강한; 꼬치꼬치 캐묻기 좋아하는; 호기심이 강한 사람",curious; questioning; prying; nosy; snoopy,All the children seem to be inquisitive about grown-up affairs.
superficial,"피상적인, 겉으로만 그럴듯한; (지식이) 깊이가 없는, 얄팍한; (상처가) 깊지 않은, 표피상의, 표면의",perfunctory; cosmetic; cursory; shallow; skin-deep; slight; frivolous; surface; external; exterior; outside; outward,The paper published a very superficial analysis of the situation.
equivocal,"두 가지 뜻으로 해석되는; 뜻이 뚜렷하지 않은; (말 등이) 모호한, 분명치 않은",ambiguous; ambivalent; dubious; vague; obscure; unclear; indefinite; imprecise,He always equivocates when he does not want to commit himself to giving an exact answer.
opposite,"마주 보고 있는, 맞은편의; (성질·결과·의미·방향 등이) 정반대의; 정반대의 일·사람·말, 적수; 맞은편에, 정반대의 위치에",facing; fronting; in front of; contrary; antithetical; adverse; diametric; counter; converse; opponent; adversary; antagonist,"Reputation and character may be in harmony, but they frequently are as opposite as light and darkness."
arbitrary,"(행동·결정 등이) 임의적인, 제멋대로인; 전횡을 일삼는, 독단적인",unpredictable; random; discretionary; willful; absolute; despotic; dictatorial; tyrannical; peremptory; assertive; imperious; dogmatic; high-handed,The frustration is that it’s all so arbitrary.
